국가별,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065
국가별,인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상),인구(65세이상)
아시아,,,,,,,,,,,,,,,,,,,,,,
한국,2.9,3.1,3.1,3.5,3.8,4.3,5.1,5.9,7.2,9,10.8,12.8,15.7,20.3,25,29.5,33.9,37,39.8,41.4,43.9,46.1
이스라엘,4.7,5.5,6.5,7.7,8.7,8.6,8.9,9.8,10,10,10.4,11.2,12.4,13.1,13.6,14.2,15,15.9,16.6,17.2,17.6,18.3
일본,5.6,6.2,6.9,7.7,8.9,10.1,11.9,14.3,17,19.7,22.5,26,28.4,29.6,30.9,32.5,35.2,36.7,37.7,38.3,38.3,38.2
터키,3.2,3.7,4,4.5,4.7,4.4,4.6,5.2,6.1,6.7,7.2,7.9,9,10.6,12.3,14.2,16.4,18.6,20.9,22.7,24.3,26
북아메리카,,,,,,,,,,,,,,,,,,,,,,
캐나다,7.7,7.8,8,8.5,9.4,10.3,11.3,12,12.6,13.1,14.2,16.1,18.1,20.5,22.8,23.8,24.2,24.5,25,25.6,26.6,27.2
멕시코,3.4,3.6,3.8,3.8,3.9,4,4.3,4.7,5.2,5.6,6.1,6.7,7.6,8.8,10.2,11.9,13.7,15.4,17,18.7,20.6,22.4
미국,9.1,9.5,10.1,10.7,11.6,12.1,12.6,12.7,12.3,12.3,13,14.6,16.6,18.6,20.3,21.2,21.6,21.9,22.4,23.1,24.1,24.9
남아메리카,,,,,,,,,,,,,,,,,,,,,,
칠레,3.8,4,4.2,4.5,4.9,5.3,5.9,6.8,7.7,8.4,9.4,10.6,12.2,14.6,17.2,19.4,21.3,23.1,24.9,27,29.1,30.4
콜롬비아,2.9,2.9,3,3.2,3.5,3.8,4.2,4.6,5.2,5.8,6.6,7.7,9.1,10.9,13,15.1,16.9,18.9,21,23.2,25.7,28
